gene_id,ERR2984230,ERR2984231,ERR2984232,ERR2984233,ERR2984242,ERR2984243,ERR2984244,ERR2984245
GRIP1|GRIP1,9,6,0,0,0,0,0,0
IFNG|IFNG,3,3,7,7,7,4,0,0
LOC112531553|LOC112531553,0,0,0,0,0,0,0,0
DYRK2|DYRK2,317,228,338,240,635,352,329,392
CAND1|CAND1,1976,1053,2199,960,4025,1420,1073,1325
LOC107052749|LOC107052749,0,0,0,0,4,0,0,10
MDM1|MDM1,278,301,336,186,763,384,342,294
LOC101752108|LOC101752108,31,20,27,20,90,31,61,31
RAP1B|RAP1B,1643,1151,1643,1088,2684,1579,1460,1247
NUP107|NUP107,922,933,821,708,1968,876,701,802
SLC35E3|SLC35E3,1086,1239,1168,1035,2171,753,925,592
MDM2|MDM2,1939,1086,1621,789,3593,1274,1525,1650
CPM|CPM,43,6,25,20,57,32,22,22
FRS2|FRS2,391,281,372,201,700,326,360,393
CPSF6|CPSF6,1177,780,1035,635,2195,991,821,910
LOC107052751|LOC107052751,190,355,89,304,343,125,234,168
LYZ|LYZ,328,814,627,256,546,4058,455,1886
YEATS4|YEATS4,344,357,283,412,561,264,386,303
LRRC10|LRRC10,6,4,8,7,13,0,7,3
CCT2|CCT2,3375,2950,4646,2360,7264,2623,2242,2295
RAB3IP|RAB3IP,790,704,1019,557,1925,982,1142,953
CNOT2|CNOT2,864,552,797,521,1456,650,775,660
TSPAN8|TSPAN8,60,53,108,44,107,52,46,34
LOC101747919|LOC101747919,55,12,38,42,60,18,65,82
LGR5|LGR5,74,59,162,24,165,121,93,104
PTPRB|PTPRB,1445,610,1006,361,2774,883,646,980
PTPRR|PTPRR,3,4,19,0,4,0,0,0
LOC112533274|LOC112533274,0,0,0,0,0,0,0,0
ZFC3H1|ZFC3H1,2195,1590,1077,1104,5270,2050,1984,2657
TMEM19|TMEM19,1210,965,1437,756,2477,1180,1105,1223
RAB21|RAB21,1719,1510,1763,1526,3875,1714,1765,1807
TPH2|TPH2,0,0,0,0,3,0,0,0
TBC1D15|TBC1D15,1205,826,1066,780,2657,1405,1162,1511
LOC101748307|LOC101748307,0,0,0,6,7,11,0,0
