"genes","logFC","logCPM","PValue","FDR"
"LOC112532905",13.4447811991186,4.34887673199469,7.21675362679794e-71,6.06431401658415e-70
"LEO1",-12.4343008561897,3.32495630344786,7.48333115316111e-71,6.28470793914617e-70
"CFD",-5.75011142420652,7.09538139695217,8.23767631579951e-71,6.91425410699473e-70
"PARP1",-8.36248391407227,5.74700700309313,8.36739163552552e-71,7.0190983909262e-70
"SETD4",6.1175653064096,4.64080332433013,8.60824518225572e-71,7.21699867173281e-70
"DUSP22",-6.35851539078514,5.10021245776771,8.86328951972013e-71,7.42656248576091e-70
"VWA8",-13.1876895730614,4.07774680552013,9.02355864083396e-71,7.5565193363041e-70
"HDAC11",-12.4135564132587,3.30271992120383,9.26089490477919e-71,7.7508280208212e-70
"TLE1",-12.6272066965928,3.51534269127577,9.62098313460204e-71,8.04704129017836e-70
"STRIP1",-12.6378301773797,3.52947659773867,9.62583191352342e-71,8.04704129017836e-70
"ITGB1BP3",-6.77068566204144,6.51174072472555,9.66951727685597e-71,8.07893973508841e-70
"AHCY",-7.21797600838421,8.80512178974573,9.91946126423898e-71,8.28303356881852e-70
"SLC35G2",8.78565058797127,7.8300682159343,1.03262128709905e-70,8.61775834858847e-70
"TARM1L",7.17044327419493,5.32638719766354,1.06618662747784e-70,8.89279976445985e-70
"STARD4",-6.96440933650748,4.66391596366782,1.08473192876742e-70,9.0423204079169e-70
"LOC112531184",7.77453934429054,5.071884294892,1.18384915234616e-70,9.86293481370265e-70
"MIR9-1.1",13.2254899321505,4.1311547712335,1.19825813221395e-70,9.97729121711822e-70
"ELAC2",6.25472915014582,9.63343832326044,1.20732880446971e-70,1.00470932914099e-69
"MLA3A",-12.3149471893006,3.20473753604329,1.50738631786168e-70,1.2536958601544e-69
"ACAD11",-6.59095516550611,5.64189119491751,1.6845685035021e-70,1.40026163490763e-69
"DHX38",-6.65500132616236,4.41951532721396,1.78262454575918e-70,1.48092623576913e-69
"LOC107052018",8.27818326897471,4.78193296213975,1.81193528010703e-70,1.50442103682977e-69
"ATP6V1D",5.7703914880939,10.7397909819514,1.94566754278841e-70,1.61453945501233e-69
"LOC112530184",7.30439701081279,4.56809946193768,1.95419266930947e-70,1.62069338686829e-69
"LOC101750070",12.7740772407691,3.68361981312028,1.99452122906903e-70,1.6532012887343e-69
"LOC112530494",-13.9475974208528,4.83960638367956,2.06714240882737e-70,1.71242358391125e-69
"CNDP2",-8.18519376326481,4.99689584621048,2.10161969274276e-70,1.73999821926629e-69
"ATOX1",-7.38220074069958,5.02479047407799,2.25557404657662e-70,1.86640450411235e-69
"LOC101749640",8.31927083709951,4.49682197605171,2.33086051362981e-70,1.92760977281678e-69
