genes	rank
UROD|UROD	-2.40511191376063
SOT3A1L|SOT3A1L	2.40288513183618
ATP5O|ATP5O	-2.40232695410762
SMAGP|SMAGP	-2.39975930521401
KIAA0355|KIAA0355	2.39679379903711
FOXM1|FOXM1	-2.39598758016574
LOC107054613|LOC107054613	2.39381772535465
LOC112530429|LOC112530429	-2.39351819837757
SH3D19|SH3D19	2.39280437267522
RRP7A|RRP7A	-2.39220538341459
FRMD4B|FRMD4B	2.39144102521234
C5H14orf1|C5H14orf1	-2.38934575706547
CIAPIN1|CIAPIN1	-2.38922950094975
ZER1|ZER1	2.38900475956681
PBK|PBK	-2.38869324963187
PLEKHM3|PLEKHM3	2.3869619405238
RHOF|RHOF	-2.38560427842873
SARS2|SARS2	-2.38507558497924
KBTBD8|KBTBD8	2.38463159508761
C14H16orf91|C14H16orf91	-2.38322153779977
VIL1|VIL1	-2.38172346069726
LOC112530097|LOC112530097	-2.37994463867241
DLL4|DLL4	2.37908079137711
AAAS|AAAS	-2.37766256724719
FUS|FUS	-2.37704188575695
BMS1|BMS1	-2.37692074505089
TIMM23B|TIMM23B	-2.37554638146036
GNL3|GNL3	-2.37404129224899
C1H12ORF45|C1H12ORF45	-2.37276783373023
LOC107053207|LOC107053207	2.37082539463343
NFIC|NFIC	-2.36872313328489
MRPS14|MRPS14	-2.36842019652701
