gene_id,CN_2w_2,CN_2w_1,CN_4w_1,HT_3hr_1,HT_3hr_2,HT_3hr_4
LOC112533324|LOC112533324,0,0,9,188932,91623,85952
CCDC59|CCDC59,69,402,364,507,252,219
SLC6A15|SLC6A15,0,0,12,11,3,4
ALX1|ALX1,0,0,0,111,68,70
PPFIA2|PPFIA2,27,40,19,0,0,0
RASSF9|RASSF9,152,401,338,19,10,0
TMTC2|TMTC2,76,298,280,0,0,0
KITLG|KITLG,0,0,18,2462,1496,1566
LOC107052880|LOC107052880,0,3,0,1662,827,782
DUSP6|DUSP6,106,233,542,23,17,13
LOC101751742|LOC101751742,25,20,82,5,0,0
POC1B|POC1B,58,226,335,33,30,28
GALNT4|GALNT4,87,283,609,10701,6324,6817
LOC107052879|LOC107052879,76,388,276,3258,1642,1390
C1H12orf50|C1H12orf50,254,464,598,0,0,0
C1H12orf29|C1H12orf29,267,883,1146,4,6,2
CEP290|CEP290,22,49,138,181,96,78
TMTC3|TMTC3,218,584,734,11,0,5
LUM|LUM,154,536,491,422,270,224
EPYC|EPYC,0,0,0,85,22,28
LOC112533355|LOC112533355,0,0,0,0,0,0
KERA|KERA,0,0,0,0,0,0
ATP2B1|ATP2B1,390,911,1977,773,332,352
LOC112533348|LOC112533348,0,3,13,467,197,252
DCN|DCN,779,1551,2355,16,5,13
LOC112533362|LOC112533362,44,39,114,4,0,3
BTG1|BTG1,3080,10452,10228,617,289,250
PLEKHG7|PLEKHG7,0,0,0,94,45,39
EEA1|EEA1,253,786,1520,458,212,251
UBE2N|UBE2N,491,1666,1792,840,472,466
NUDT4|NUDT4,1396,4433,6752,337,213,199
SOCS2|SOCS2,102,454,717,1163,598,696
ERR2984226.621|TRNAM-CAU,1,0,0,1660,814,837
LOC112533382|LOC112533382,2,0,0,156,104,114
MRPL42|MRPL42,182,626,646,1097,476,499
LOC107052984|LOC107052984,285,650,1792,2560,1036,1532
LOC107052933|LOC107052933,0,8,0,12,2,0
CRADD|CRADD,150,587,693,707,397,234
LOC112533381|LOC112533381,6,3,21,20,7,0
CEP83|CEP83,43,116,107,5261,2013,1803
PLXNC1|PLXNC1,375,399,2209,97,48,96
TMCC3|TMCC3,35,102,184,15621,7364,8492
SNAPC3|SNAPC3,88,406,287,0,0,0
NDUFA12|NDUFA12,565,2979,1765,1993,897,891
NR2C1|NR2C1,204,491,700,7792,2505,2563
METAP2|METAP2,525,1598,1908,2513,1085,1073
VEZT|VEZT,222,630,856,24,9,9
LOC101751743|LOC101751743,0,0,21,1860,1364,914
FGD6|FGD6,224,363,827,698,421,404
LOC107052983|LOC107052983,34,8,42,868,967,385
LOC112533391|LOC112533391,27,80,117,857,485,437
NTN4|NTN4,0,18,22,10,0,0
SNRPF|SNRPF,150,876,639,0,6,0
USP44|USP44,443,1220,1841,142,55,68
AMDHD1|AMDHD1,1949,7368,6766,2495,1157,1103
HAL|HAL,1467,5299,7452,230,100,92
ELK3|ELK3,80,210,326,425,223,266
LTA4H|LTA4H,582,1632,2342,1996,1046,865
CFAP54|CFAP54,0,13,0,1021,406,458
NEDD1|NEDD1,183,583,912,1136,401,655
CDK17|CDK17,329,889,1433,1333,491,539
LOC107052950|LOC107052950,0,0,0,124,65,95
TMPO|TMPO,269,762,1105,76,34,56
APAF1|APAF1,176,414,811,20,29,5
IKBIP|IKBIP,158,445,522,2465,1040,1160
SLC25A3|SLC25A3,3897,11999,12189,24,29,15
LOC112531638|LOC112531638,10,26,28,552,385,224
ANKS1B|ANKS1B,0,18,16,3223,1134,1657
ACTR6|ACTR6,247,907,977,0,0,0
UHRF1BP1L|UHRF1BP1L,526,1448,1960,494,234,127
SLC17A8|SLC17A8,5,15,19,3364,1454,1835
SCYL2|SCYL2,595,1265,2355,7803,3554,4810
NR1H4|NR1H4,490,1264,1531,10141,4705,5302
GAS2L3|GAS2L3,149,247,227,37,20,0
